,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,21.11819009,14.46674707,22.58204176,20.30416834,18.46198706,14.8942698,15.90074681,65.81455753,17.58650989,26.91195421,20.29258177,62.71997228,15.21169511,24.19635788,20.19748139,19.42506602,18.36161272,20.0295,24.84046247,18.07411595,20.87919022,19.94678337,19.23208614,20.99954369,17.42638361,17.35926851,13.45754152,20.1474504,21.48008078,18.67222769,18.94991594,18.77654991,18.25812299,22.91144339,15.0774938,18.78863258,25.40499418,17.93480899,17.36753329,23.50058174,19.64187877,21.36034643,23.3933807,21.61266977,20.82984113,18.70709213,24.17245608,15.87867735,20.16631949,17.70598033,22.95803645,14.21669729,20.68687157,18.61988233,21.25748057,14.00715674,18.17225748,22.24863628,28.15379405,20.14789552,19.42559209,17.05166065,13.9182415,23.92856004,22.10685235,17.86404939,18.58447425,20.4250582,22.17740212,21.40206766,15.82786291,23.60155348,18.89479033,27.4951287,20.3936198,20.19652537,23.25790986,16.27948946,23.52048694,18.51024342,24.6539684,17.29991437,17.81826959,18.05363553,20.10261518,17.6993989,26.96560982,23.17629878,21.59962147,16.92129297,19.11975895,17.51388266,21.73955381,20.49660876,21.40546115,19.23019084,18.88227057,20.80848039,22.20497949,16.72597183,24.82009438,20.94829364,20.82002905,132.0631071,19.43348632,19.06655626,21.7722489,17.65628341,21.56259802,14.08247459,18.65314284,27.59795923,20.34237125,21.47221894,23.98337836,19.26499515,21.35442107,25.62309333,23.15769919,20.77938377,20.41560524,19.88995797,14.02532596,21.74488063,20.90449369,21.62225031,24.61228235,20.73056817,18.82700906,18.75917224,20.98267398,21.30778184,26.92270299,21.12606564,18.97176794,21.62884879
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,5.587839904,3.154325661,5.934108747,5.54938375,4.767978799,4.145765739,3.885651451,1.810415365,3.081264552,6.652315803,5.625305555,1.765804639,4.532287626,6.033456738,4.884794458,3.878526348,4.433731126,5.537313132,6.320211633,4.340320814,5.352911213,4.844277158,4.825235319,5.087724083,4.702136849,4.639799921,3.539092348,3.504791768,5.43755325,5.399445596,5.59958551,4.547589373,4.155972274,5.937922023,3.163595167,4.521195511,6.59917288,4.933535306,5.033997602,5.811452151,5.143587511,5.273695,5.868959975,6.135509116,5.541032431,3.567386784,4.684969391,3.059364623,4.894730528,4.82388003,5.917275681,4.305190747,4.632006492,3.577728363,5.5652541,3.427850475,4.791622852,5.249406362,7.059072342,4.313464565,4.945454385,4.096954086,2.834844924,5.647082998,5.611121401,4.489995824,5.189608725,5.340140445,5.74681319,5.40115273,3.607633487,6.309628127,4.337101528,6.89792082,4.9505306,5.676758657,6.118947637,3.214917858,6.009431797,4.713688939,5.983964327,4.471170915,4.539015974,4.666419663,5.249391889,4.131475109,6.77524012,5.721126028,5.107211817,3.668936467,5.177730577,4.970890482,3.615982253,5.541805327,5.555970973,5.236636707,5.031577366,5.522128594,5.840798448,3.828079662,6.263068446,5.317960717,5.285688312,0.044659574,5.099112204,4.994529431,5.365071674,4.741339446,5.424522413,3.021132836,4.985996893,7.232881751,5.384803323,5.827124615,5.960426387,4.88848553,2.259418736,6.182911552,5.891999487,5.585197415,7.097336372,5.417734144,4.10883315,5.414800902,5.301942973,4.736288291,6.189802795,5.242086543,4.704525961,2.543641439,5.37210869,5.47949258,6.6185145,5.322248454,5.200285392,5.574935159
wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.61784042,0.606583112,0.619772772,0.62584122,0.626366667,0.632103659,0.616513607,0.18024454,0.589693055,0.626287808,0.625965092,0.179126733,0.636463951,0.614275583,0.613578554,0.616332059,0.620629809,0.618969947,0.623874952,0.606754896,0.625824442,0.613811593,0.623919327,0.61416736,0.633462233,0.616568234,0.625282678,0.556185772,0.620450186,0.606271425,0.637974418,0.616878705,0.621880787,0.62774281,0.577354238,0.624014716,0.622409893,0.611783857,0.607769001,0.618036783,0.621762293,0.615662429,0.621390049,0.623515257,0.620991201,0.592608673,0.607302013,0.597110096,0.606483605,0.609706172,0.617353374,0.626165467,0.599496004,0.593215572,0.619152483,0.626554444,0.618545316,0.611458764,0.626834271,0.606586952,0.619278395,0.62142851,0.62273296,0.616320397,0.619437281,0.619391425,0.609494815,0.620744896,0.624894448,0.624683664,0.61228211,0.625453341,0.618265797,0.626502907,0.621157347,0.627267844,0.617258537,0.560804374,0.608821279,0.624644243,0.616547616,0.608072245,0.614928789,0.61627155,0.616690626,0.624224354,0.626755058,0.615828637,0.615225902,0.574350566,0.624467282,0.608917977,0.565516253,0.618910204,0.61499092,0.622788792,0.62790781,0.626803002,0.614465201,0.582504637,0.619602906,0.62361423,0.621671018,0.020128251,0.625994562,0.617908749,0.616658827,0.622438062,0.626134359,0.59550217,0.621834809,0.626307061,0.612659652,0.618539353,0.624012098,0.626680841,0.55030493,0.625585042,0.618363768,0.601369399,0.591827882,0.626494451,0.635574791,0.622328097,0.62257391,0.595292375,0.627839506,0.623596317,0.609938008,0.581433348,0.613642193,0.620944031,0.625992864,0.623759417,0.613457124,0.619921511
wavelet-LHH_glrlm_RunEntropy,3.117002739,2.768632731,3.050581093,3.084895739,3.007141923,2.827782463,2.850092735,3.080015947,2.784367804,3.286360662,3.09530115,3.107400471,2.876662846,3.129770812,3.016809298,2.945439213,2.955367036,3.047036447,3.037551376,2.95807526,2.976747403,3.025012242,2.961827871,3.034220865,2.902266998,2.956293329,2.632424701,2.73803304,3.009883739,3.048574306,3.041824951,2.906068349,2.875787781,3.012936037,2.739570159,2.965670187,3.10696545,3.025038086,2.984162811,3.098514321,3.013266914,3.092554535,2.972598788,3.102776558,3.045487803,2.812464204,3.135354884,2.791568782,3.101784183,2.950559486,3.172771373,2.879315519,3.032146957,2.962345085,3.068600948,2.704943856,2.934463459,3.051477246,3.306889254,3.057991695,3.009682375,2.771601056,2.539086637,3.183529876,3.148491779,2.972297068,3.068581989,3.034381867,3.07667352,3.020873528,2.788713256,3.093235869,2.857011507,3.321073548,2.979024567,3.08677767,3.142951181,2.781107361,3.194769337,2.958220662,3.128715881,2.990955415,3.009027703,2.981415967,3.09229915,2.925282288,3.299613577,3.172347866,3.06163338,2.840435492,3.04484668,3.008929584,2.951660074,3.106315304,3.115306291,2.989335733,2.964301344,3.019065974,3.180150721,2.928191744,3.242448878,3.030049592,3.03734848,2.899117996,3.025324138,2.964142055,3.106878228,2.992564476,3.116299271,2.739428495,2.965036149,2.993180567,3.091281775,3.103120738,3.014827276,2.934788427,2.635780742,3.224467501,3.114593755,3.166519159,3.119722653,3.081373535,2.872491882,3.013904536,3.003494977,3.072205731,3.201545001,2.986371078,3.011173416,2.629822793,3.074924541,3.020137713,3.257889895,2.999409891,3.086664365,3.100498221
wavelet-LHH_glrlm_RunLengthNonUniformity,5039.595261,413.0858831,6399.315496,4808.931595,2635.315263,1346.427546,1006.121726,8979.033061,215.1361008,19774.93436,2211.120436,10348.40754,874.8635118,4848.958281,3325.141897,312.8477261,1056.172373,6738.449099,46512.04415,347.9787669,20162.00504,2180.082153,3668.006194,1106.435917,1711.349119,2862.336831,1829.364357,90.77510092,30946.49656,782.2140122,954.6776529,795.1266633,924.2911873,12341.01805,94.62165067,3724.348455,14822.48223,633.213007,314.4380276,6709.338616,3837.158517,4655.944434,10938.05163,4728.756607,11887.31492,113.8001486,1144.271281,215.4122989,1257.023487,481.0222807,4220.274562,564.6091024,797.5518159,286.9120143,4359.177643,100.1299643,1021.709004,2549.679356,13159.38373,416.67956,2943.96126,806.394012,185.0283339,4747.548803,1794.58127,1552.893754,418.0655033,3495.109364,18283.22748,14872.70503,475.8926934,13854.88946,1367.360161,9014.153916,2946.037524,5501.174341,7867.275908,507.9757379,3617.280009,3990.37802,2368.019989,903.1574006,1188.907717,1140.011185,2022.761959,267.3914301,3896.861024,5357.258901,1362.319997,216.2230546,4503.446567,493.5200575,129.0123932,4947.713757,5356.332128,6721.781716,3840.013068,6919.10242,2367.402153,347.2723888,6919.69667,20495.13159,6719.985677,3426.611984,2839.073522,1901.802305,5719.901335,1890.374063,4245.486171,90.090816,6775.507378,4489.056713,1292.592078,5933.208262,56996.178,1997.528498,68.79842103,6210.611486,24229.38953,845.5016356,941.2056715,3011.953386,1503.382508,17302.61152,8917.732228,331.867036,13156.10603,7727.809937,729.5867531,105.0648088,3209.82971,26653.41972,16701.68318,11431.71027,4285.527217,6855.771814
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.310726269,0.376074225,0.328347673,0.314987707,0.330947243,0.3698844,0.364307926,0.323613865,0.366553513,0.274222076,0.315418729,0.316810829,0.359859849,0.311793943,0.328941117,0.344906177,0.343810817,0.326898544,0.332815252,0.333057046,0.345957032,0.331937698,0.346745992,0.331646511,0.360182343,0.343973306,0.435150961,0.362410007,0.336829522,0.319922418,0.324078536,0.35915683,0.364296417,0.3392026,0.372260769,0.344401603,0.314912736,0.326517089,0.329900202,0.318992446,0.333065415,0.31661009,0.353534393,0.31474413,0.329008457,0.349716931,0.300339723,0.359730618,0.306983805,0.339537319,0.295933996,0.347153869,0.316809225,0.320583167,0.323317209,0.386576344,0.350211338,0.327368583,0.271278631,0.309553904,0.331460821,0.394754577,0.431526323,0.29509744,0.297653699,0.338818126,0.306741124,0.331186751,0.320189834,0.334136828,0.376315406,0.321227784,0.372296409,0.266493682,0.343097744,0.315210527,0.307999986,0.368602964,0.293024639,0.345818557,0.312371874,0.324835838,0.327554293,0.33935814,0.313604389,0.344662081,0.272865592,0.297223345,0.321261008,0.351873004,0.323709915,0.324993785,0.306213462,0.312675764,0.311868965,0.342315028,0.344615072,0.337561281,0.29421608,0.335697552,0.285630521,0.332274598,0.331252292,0.749828871,0.329653485,0.349962849,0.311454685,0.336940699,0.305933823,0.369187991,0.346552268,0.356280974,0.310364448,0.314193911,0.339095814,0.350260364,0.34917408,0.286478133,0.313596912,0.292300618,0.295387176,0.316422053,0.361442027,0.334885967,0.337412199,0.306275459,0.293049669,0.346501321,0.331902718,0.39913206,0.317547641,0.335606398,0.280539536,0.337267454,0.312240157,0.316131793
wavelet-LHH_glrlm_RunPercentage,0.472698447,0.552866762,0.495532453,0.480909079,0.499909805,0.544026713,0.538846957,0.493246151,0.541523525,0.431366481,0.479273426,0.479296275,0.531240929,0.473383977,0.499799402,0.508292908,0.513392857,0.493308576,0.498044963,0.505982906,0.511799998,0.497640109,0.516175757,0.495656472,0.52873809,0.514691798,0.600672551,0.524286949,0.500256167,0.486160421,0.491322744,0.527852148,0.533520238,0.505915604,0.548951049,0.512992327,0.480810634,0.493833612,0.500108956,0.480688462,0.500195383,0.480411872,0.517512856,0.479093112,0.494635778,0.516871364,0.463545151,0.539404935,0.475068597,0.509511032,0.458064431,0.523972603,0.490151271,0.497406082,0.488845851,0.55862069,0.518539866,0.491990484,0.428821291,0.479549719,0.500181818,0.561913696,0.604626952,0.456923544,0.466387334,0.507701379,0.475924076,0.495541601,0.485317656,0.499786272,0.552760181,0.483815141,0.543048178,0.423200527,0.510716077,0.481505241,0.468367277,0.544976617,0.455600006,0.515781626,0.47468906,0.499472527,0.49806993,0.506551788,0.478202097,0.511848853,0.431716362,0.460995327,0.489100163,0.526993007,0.490457699,0.494764957,0.47967033,0.476516973,0.476892966,0.509256146,0.513549258,0.501348538,0.45790312,0.509436955,0.442986425,0.496462622,0.49641569,0.834341298,0.49728127,0.514574691,0.477418456,0.503882854,0.473698453,0.54841629,0.513312139,0.520340096,0.478799943,0.478487222,0.502535291,0.52196098,0.515700738,0.447804093,0.476092031,0.455788398,0.456770061,0.482042909,0.532649341,0.503425799,0.50679285,0.473838982,0.453069545,0.510316934,0.498000186,0.552307692,0.485105112,0.502385834,0.441937849,0.504454031,0.477918201,0.479788839
wavelet-LHH_glrlm_RunVariance,2.57030261,1.381976165,2.719033401,2.37949752,2.106042176,1.627747866,1.704829664,3.13425026,1.559796122,3.160901391,2.49441624,2.746693493,1.770944901,2.829139007,2.341237718,1.962107335,2.020299561,2.480999898,2.767499815,1.875963832,2.251251115,2.257362593,2.239099183,2.447546496,1.972584191,2.049798107,1.39199169,1.656058825,2.271136721,2.31641129,2.414815239,2.031771768,1.835909993,2.649459043,1.419040232,2.087473513,3.021573111,2.189280934,2.154043138,2.670327966,2.26694324,2.520630978,2.643051638,2.693536012,2.463574367,1.638798795,2.520752964,1.422205709,2.380611265,2.135572018,2.710947668,1.664334725,2.32382036,1.750425028,2.53650352,1.354711499,2.024162346,2.476624918,3.391204801,2.139041563,2.150316402,1.710731977,1.137486208,2.774129845,2.724331854,2.036375696,2.251353948,2.321370333,2.536855023,2.38792623,1.606699886,2.771086828,2.056302182,3.249782677,2.311309423,2.48371996,2.818446121,1.511243519,2.851847657,2.088403918,2.94734932,1.915018243,2.027056093,2.090065086,2.363776161,1.762755419,3.2810286,2.720294133,2.463202652,1.648216828,2.260283057,2.18366536,1.994956392,2.478424148,2.620788432,2.294095082,2.184199849,2.48524977,2.728658205,1.762962846,3.001396158,2.316418656,2.43373902,0.56467577,2.288429524,2.238479792,2.510472661,2.078227848,2.487829362,1.293038375,2.158180376,3.724451927,2.508037252,2.574900024,2.542102042,2.197176211,1.614027997,2.995027246,2.659425451,2.588591057,3.225324853,2.400097414,1.69341572,2.470537663,2.444998779,2.36064687,2.869279866,2.340237039,2.142080874,1.465960693,2.432400814,2.480752413,3.205816521,2.290993711,2.336508176,2.5605881
wavelet-LHH_glrlm_ShortRunEmphasis,0.524684692,0.589912606,0.531694581,0.520892448,0.542274287,0.581752385,0.580337124,0.528471903,0.588916531,0.467254651,0.5255039,0.520808383,0.573697751,0.516778225,0.541988972,0.561726525,0.564475731,0.540957001,0.526455762,0.549491312,0.550132065,0.548398779,0.560342315,0.545466077,0.569573153,0.561200317,0.641193449,0.572542653,0.538604666,0.533637692,0.536652079,0.569934905,0.574315471,0.541468949,0.598949002,0.558752944,0.512142861,0.543039224,0.541307112,0.521518253,0.53950201,0.529290785,0.556900797,0.523866884,0.536238643,0.557116424,0.51189458,0.575672766,0.524722482,0.550759615,0.495250585,0.558802408,0.523293481,0.54075434,0.534650539,0.604711467,0.561799218,0.535815897,0.464220653,0.524660948,0.541212999,0.597353461,0.640814593,0.502200009,0.503772663,0.551653316,0.515430928,0.538026466,0.523608066,0.538720223,0.589167321,0.522729779,0.588318259,0.458409147,0.552636631,0.522556308,0.514254498,0.585484062,0.50005917,0.557542829,0.517568305,0.539121547,0.543617352,0.558620876,0.527287221,0.555998958,0.473236219,0.505816004,0.533119543,0.563997455,0.533369512,0.541013391,0.523300079,0.522749344,0.521786461,0.555245633,0.555212648,0.546809214,0.50273818,0.558149149,0.491703825,0.539236474,0.542487145,0.868692112,0.5429886,0.565613789,0.522815199,0.557132345,0.51387113,0.594731865,0.556743075,0.559962812,0.52244705,0.521873716,0.535624234,0.558505962,0.567340062,0.483087635,0.517226656,0.504265155,0.505251556,0.52251475,0.58189058,0.541400266,0.545332465,0.51440253,0.494748584,0.556167541,0.549767062,0.608335347,0.52706076,0.542411795,0.478929878,0.541426641,0.525650384,0.523709438
wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,1.348789021,1.49816186,1.353715689,1.323567489,1.364232219,1.468983545,1.468948564,3.441793966,1.461781285,1.161598709,1.330697203,3.419341564,1.463338832,1.306130514,1.367754901,1.357778478,1.404296234,1.397055542,1.322679716,1.405613983,1.379119048,1.383645563,1.399271234,1.378093364,1.419583242,1.443946123,1.622748525,1.492854795,1.361757114,1.425091801,1.359920233,1.435839675,1.406255023,1.353206628,1.633485142,1.376779004,1.296897786,1.41117784,1.450375385,1.306269802,1.368417356,1.33489352,1.398734433,1.351780145,1.368770634,1.37882425,1.242773007,1.431528777,1.333230516,1.439000306,1.264928693,1.443669726,1.345391816,1.342944134,1.35963231,1.467855972,1.429165439,1.351995947,1.155382755,1.312807405,1.371183812,1.490210842,1.53437081,1.253027235,1.269278738,1.391437952,1.370152285,1.369069648,1.317208668,1.350253375,1.483765258,1.322455781,1.456096269,1.144622495,1.385836841,1.33421397,1.311508627,1.579879248,1.282637662,1.399690784,1.302385191,1.402091344,1.387388174,1.444171782,1.348623767,1.356461482,1.178006357,1.281152668,1.336527931,1.501586938,1.350212863,1.43044641,1.285953148,1.335670341,1.336436448,1.417571641,1.398587924,1.379128181,1.296318896,1.476074248,1.234174303,1.350455421,1.366524992,50.35507232,1.363628002,1.444141005,1.324672465,1.407655721,1.280250808,1.522163247,1.417915259,1.414446089,1.339003662,1.344749674,1.338370613,1.399689533,1.306382375,1.196829111,1.311312524,1.328789481,1.432595246,1.320209648,1.467091515,1.361007959,1.369355662,1.29469792,1.231445371,1.396142148,1.41571228,1.444956556,1.350964939,1.372404321,1.190837588,1.357461234,1.366396311,1.331931294
wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.318658609,0.362850292,0.326189304,0.320223687,0.336784805,0.359944595,0.358184264,0.095557909,0.370700343,0.293668637,0.324205574,0.093205326,0.351287481,0.319440152,0.33554749,0.362713537,0.354520605,0.326932366,0.327399773,0.335460644,0.342885319,0.339587083,0.350610085,0.337309255,0.357070631,0.340513866,0.39580468,0.342464618,0.332816554,0.310774164,0.330835041,0.353458712,0.366330583,0.338534529,0.340314967,0.354246429,0.31595413,0.32600457,0.314040044,0.325330365,0.332273174,0.327890101,0.346442389,0.316888569,0.328105645,0.351689467,0.329174974,0.361708763,0.322595474,0.328699442,0.302831058,0.337585579,0.317768898,0.340206892,0.328405097,0.388925341,0.344957663,0.331770885,0.291430127,0.327624334,0.333720296,0.374139115,0.417425539,0.314493202,0.312396144,0.341707157,0.301750589,0.330265671,0.325207916,0.335836935,0.365517837,0.322798279,0.371373757,0.28685581,0.344336578,0.319641892,0.314940966,0.336885265,0.304414547,0.34700584,0.321364083,0.323379098,0.332674646,0.337233149,0.321953085,0.355883327,0.297043685,0.311981838,0.332267446,0.329600084,0.329158675,0.318655136,0.332636811,0.319519095,0.318123964,0.339664132,0.344368829,0.338729473,0.304343001,0.328667875,0.306086205,0.336431737,0.336477683,0.017652733,0.33782875,0.345981986,0.322350883,0.3445015,0.32227621,0.36287402,0.341450029,0.346341992,0.318307897,0.316154726,0.334937639,0.34821007,0.382579483,0.304652266,0.318705189,0.298134074,0.273415634,0.323091026,0.360590346,0.336498343,0.339326666,0.319328682,0.310574387,0.34617389,0.333280757,0.399180044,0.321084716,0.334913664,0.300952951,0.337417992,0.315463903,0.321653974
wavelet-LHH_glszm_GrayLevelNonUniformity,12.08333333,5.8,11.6,5,2.6,7.5,4.555555556,11.12903226,7.222222222,10.71428571,7.5,27.14285714,7.5,20.18518519,10.88235294,2.5,7.571428571,14,30.24137931,2.5,20.72222222,10.77777778,9.526315789,9.615384615,1.666666667,10.15789474,2.6,1.666666667,24.04761905,4.333333333,4,2.5,1.666666667,8.5,2,7.533333333,15.51612903,5.8,4.142857143,13.38095238,10.15789474,19.06060606,15.42105263,12.56521739,19.21052632,1.666666667,6.846153846,5,7.5,4.555555556,9.615384615,3,5,5.909090909,13.07692308,2.6,5.888888889,12.5,11.69565217,2,6.666666667,1.666666667,5,9.235294118,4.25,6.166666667,3,3,23.39130435,16.25,2.6,11,3,11.36363636,7.8,12.33333333,15.17391304,13,15.17391304,6.166666667,6.166666667,10.71428571,7.571428571,4.142857143,12.56521739,2,6.8,11.66666667,8.125,2.5,10.71428571,1.666666667,3.333333333,9.526315789,15.76923077,14.07142857,7.533333333,7.727272727,9.941176471,6.636363636,19.06060606,26.04166667,8.764705882,81.13961606,11.81818182,5.2,19.61538462,10,12.52,1,9.444444444,5.8,5.8,9.444444444,26.44,7.571428571,4.333333333,5.2,27.34782609,7.5,4.142857143,6.166666667,7.533333333,17.05882353,10.9,2.5,14.40740741,16.29032258,2.6,3.4,13.33333333,38.125,22.19047619,15.51612903,19.82051282,18.88888889
wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.503472222,0.58,0.58,0.555555556,0.52,0.625,0.50617284,0.359001041,0.802469136,0.510204082,0.625,0.646258503,0.625,0.747599451,0.640138408,0.625,0.540816327,0.5,0.521403092,0.625,0.575617284,0.598765432,0.501385042,0.73964497,0.555555556,0.534626039,0.52,0.555555556,0.572562358,0.722222222,0.5,0.625,0.555555556,0.53125,0.5,0.502222222,0.500520291,0.58,0.591836735,0.637188209,0.534626039,0.577594123,0.811634349,0.5463138,0.505540166,0.555555556,0.526627219,0.625,0.625,0.50617284,0.73964497,0.5,0.625,0.537190083,0.50295858,0.52,0.654320988,0.625,0.508506616,0.5,0.555555556,0.555555556,0.625,0.543252595,0.53125,0.513888889,0.5,0.5,0.508506616,0.5078125,0.52,0.5,0.5,0.516528926,0.52,0.513888889,0.65973535,0.722222222,0.65973535,0.513888889,0.513888889,0.510204082,0.540816327,0.591836735,0.5463138,0.5,0.68,0.555555556,0.5078125,0.625,0.510204082,0.555555556,0.555555556,0.501385042,0.606508876,0.50255102,0.502222222,0.702479339,0.584775087,0.603305785,0.577594123,0.542534722,0.515570934,0.141604915,0.537190083,0.52,0.50295858,0.625,0.5008,0.5,0.524691358,0.58,0.58,0.524691358,0.5288,0.540816327,0.722222222,0.52,0.594517958,0.625,0.591836735,0.513888889,0.502222222,0.501730104,0.545,0.625,0.533607682,0.525494277,0.52,0.68,0.555555556,0.595703125,0.528344671,0.500520291,0.508218277,0.524691358
wavelet-LHH_glszm_GrayLevelVariance,0.248263889,0.21,0.21,0.222222222,0.24,0.1875,0.24691358,0.636836629,0.098765432,0.244897959,0.1875,0.249433107,0.1875,0.126200274,0.179930796,0.1875,0.229591837,0.25,0.239298454,0.1875,0.212191358,0.200617284,0.249307479,0.130177515,0.222222222,0.232686981,0.24,0.222222222,0.213718821,0.138888889,0.25,0.1875,0.222222222,0.234375,0.25,0.248888889,0.249739854,0.21,0.204081633,0.181405896,0.232686981,0.211202938,0.094182825,0.2268431,0.247229917,0.222222222,0.236686391,0.1875,0.1875,0.24691358,0.130177515,0.25,0.1875,0.231404959,0.24852071,0.24,0.172839506,0.1875,0.245746692,0.25,0.222222222,0.222222222,0.1875,0.228373702,0.234375,0.243055556,0.25,0.25,0.245746692,0.24609375,0.24,0.25,0.25,0.241735537,0.24,0.243055556,0.170132325,0.138888889,0.170132325,0.243055556,0.243055556,0.244897959,0.229591837,0.204081633,0.2268431,0.25,0.16,0.222222222,0.24609375,0.1875,0.244897959,0.222222222,0.222222222,0.249307479,0.196745562,0.24872449,0.248888889,0.148760331,0.207612457,0.198347107,0.211202938,0.228732639,0.242214533,4.981156096,0.231404959,0.24,0.24852071,0.1875,0.2496,0.25,0.237654321,0.21,0.21,0.237654321,0.2356,0.229591837,0.138888889,0.24,0.202741021,0.1875,0.204081633,0.243055556,0.248888889,0.249134948,0.2275,0.1875,0.233196159,0.237252862,0.24,0.16,0.222222222,0.202148438,0.235827664,0.249739854,0.245890861,0.237654321
wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,2.375,1.9,1.9,2,2.8,3.25,2.333333333,6.967741935,1.333333333,2.714285714,1.75,5.047619048,3.25,1.444444444,1.705882353,1.75,2.071428571,2.5,2.189655172,1.75,3.083333333,1.833333333,2.421052632,1.461538462,3,2.105263158,2.2,2,1.928571429,1.5,2.5,1.75,3,2.875,2.5,2.6,2.451612903,1.9,1.857142857,1.714285714,2.105263158,1.909090909,1.315789474,2.956521739,2.342105263,2,2.153846154,1.75,1.75,2.333333333,1.461538462,2.5,1.75,2.090909091,2.615384615,2.8,1.666666667,1.75,2.695652174,2.5,2,2,1.75,2.058823529,2.125,2.75,2.5,2.5,2.695652174,2.6875,2.2,2.5,2.5,2.772727273,2.8,2.75,1.652173913,1.5,1.652173913,2.75,2.25,2.285714286,2.071428571,1.857142857,2.043478261,2.5,3.4,2,2.3125,1.75,2.714285714,2,2,2.421052632,1.807692308,2.392857143,2.4,3.454545455,1.882352941,1.818181818,1.909090909,2.0625,2.764705882,61.87434555,2.909090909,2.2,2.384615385,1.75,2.56,2.5,2.166666667,3.1,1.9,2.833333333,2.14,2.071428571,1.5,2.8,1.847826087,1.75,1.857142857,2.75,2.6,2.411764706,2.05,1.75,2.888888889,2.161290323,2.8,1.6,2,1.84375,2.857142857,2.451612903,2.307692308,2.166666667
wavelet-LHH_glszm_LargeAreaEmphasis,15115562.63,105039.1,21676915.3,48567946.33,13808175.8,729968.8333,444924.8889,30663376.65,58216.22222,579491887.8,7673607.583,43411097.48,651823.8333,16699130.7,5569054.235,347223.75,563931.5714,26625822.68,472621640.7,465605.75,140202886,2026589.944,4348483.421,1473180.077,11410869.67,3194773.158,2068802.6,34991,337247810.6,1815506,1928959.875,1850167.5,3217022,121244621,20696.5,3366515.6,125330693,427382.6,220964.4286,20786789.52,11202814.84,4944226.152,75147229.84,13804248.78,39255785,60309.66667,1177092.692,63919.75,1666725.667,366414.4444,32442357.62,709874.3333,1389720.25,92475.09091,6257223.538,15950.2,1497639,2824218.9,238133984.6,881347.25,5920484.833,1792911.333,14533.875,16026377.41,9000757.375,1900164,599224.1667,32000370,114063255.8,104086862.4,230077,148915411.5,2777144.5,126585913.4,6782222.133,9778588.625,55471853,99708.5,7832637.261,13404897.08,8813520.75,487688.2857,957366.0714,2735992.714,2923694.174,252785.75,47023808,24251707.43,1609427.5,151342.5,16605961.38,1382234,52265.66667,24977955,16127453.08,11840888.25,8598767.6,63764438.64,4135273.765,87941.81818,20261811.76,127430651.7,41809347.06,7090.118674,3394103.045,2404553.3,7124731.436,1281010.5,7713586.16,45662.5,20346337.61,22159260.8,2880039.9,37001774.89,908972023.7,2089488.643,12292.83333,100801812.3,202056150.1,934617.3333,3001833.286,10208943.08,948455,128144389.7,29045722.6,569137.25,117961507.6,18070235.97,1695743,19709.6,2753175.25,162041818.3,183471515.8,32916707.32,8578390.949,10703244.94
